id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
johng103,Johnson,Grant,R,R,NYL,13,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,19130720,19130813,1913
juncj101,Junco,Jose,?,L,CUW,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19130802,19130802,1913
kindb101,Kindle,Bill,?,R,CAG,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,19130729,19130809,1913
lindb103,Lindsay,Bill,?,R,CAG,11,7,4,3,0,0,0,0,0,2,1,3,5,0,1,1,19130719,19130813,1913
lloyj101,Lloyd,John Henry,L,R,NYL,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19130720,19130812,1913
magrj101,Magrinat,Jose,L,L,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
monrb102,Monroe,Bill,R,R,CAG,6,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,19130720,19130809,1913
morac104,Moran,Carlos,L,L,CUW,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19130802,19130802,1913
parep101,Pareda,Pastor,L,R,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
parkw103,Parks,William,?,R,CAG,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19130813,19130813,1913
parpa101,Parpetti,Agustin,R,R,CUW,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19130802,19130802,1913
payna101,Payne,Andrew,?,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
payna101,Payne,Andrew,?,R,NYL,3,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,19130731,19130802,1913
pedre101,Pedroso,Eustaquio,R,R,CUW,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19130802,19130802,1913
petwb101,Petway,Bruce,B,R,CAG,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19130718,19130813,1913
pierb104,Pierce,Bill,R,R,CAG,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19130720,19130727,1913
poles101,Poles,Spottswood,B,R,NYL,13,0,0,0,0,0,0,0,0,1,13,0,13,0,0,0,19130720,19130813,1913
portu101,Portlock,,?,?,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
reddd101,Redding,Dick,R,R,NYL,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,19130719,19130802,1913
rodrv101,Rodriguez,Vicente,?,R,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
santl101,Santop,Louis,L,R,NYL,12,0,0,0,8,0,0,0,0,0,0,4,4,0,0,0,19130719,19130813,1913
taylb108,Taylor,Ben,L,L,CAG,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19130728,19130813,1913
taylj104,Taylor,Steel Arm Johnny,R,R,CAG,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19130809,19130812,1913
taylj105,Taylor,Candy Jim,R,R,CAG,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,19130720,19130813,1913
thomj103,Thomas,Jules,R,R,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
torrc101,Torriente,Cristobal,L,L,CUW,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19130802,19130802,1913
villm101,Villa,Manuel,R,R,CUW,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19130802,19130802,1913
wadel101,Wade,Lee,?,R,NYL,6,6,4,2,0,0,0,0,0,0,0,1,1,0,0,0,19130719,19130812,1913
wiled101,Wiley,Doc,R,R,NYL,13,0,0,0,8,0,0,0,0,0,0,6,6,0,0,0,19130718,19130813,1913
